"itemid","accountid","price","merchantid","datepurchased"
"KAYLJ","OW0EP","1999.97","0YU61","2022-03-22"
"VPIX6","OW0EP","1999.84","ME7DC","2022-03-22"
"UVS1V","BRX62","1996.78","GV6M6","2022-04-08"
"H0V6O","X4E1M","1995.5","P4FIZ","2022-03-12"
"PAXIB","HJYAF","1994.82","FUR3X","2022-10-19"
"FGIRP","29JBC","1986.71","CHM29","2022-03-12"
"B8HUB","HPTBM","1984.48","KV5S9","2022-05-30"
"5JZ1Z","96A1O","1973.35","BKW17","2022-06-02"
"2T904","IDZE3","1963.4","YRL14","2022-03-25"
"W5DBR","5C0M1","1957.12","G558B","2022-09-26"
"LI6HU","HJYAF","1939.69","87CKX","2022-10-19"
"OZ9O3","HLQ7U","1938.2","3AFOH","2022-06-15"
"T8P6V","8NP1J","1926.3","P1ZUA","2022-03-12"
"Y7WR8","BRX62","1911.54","5XI94","2022-05-01"
"AU395","OW0EP","1911.31","CCMQG","2022-03-22"
"9P1PN","HJYAF","1909.29","Z49UX","2022-10-04"
"IN5NP","HLQ7U","1892.8","05M7F","2022-06-15"
"MK4DM","29JBC","1877.51","YRL14","2022-10-19"
"N2E19","HLQ7U","1877.19","87CKX","2022-06-15"
"P8ENU","T9ZSG","1872.33","O0KP9","2022-09-04"
"8MLEQ","IDZE3","1861.72","7H518","2022-03-25"
"70N2Z","F95B8","1860.63","P8DKB","2022-04-15"
"YJOSM","F95B8","1852.16","XWXLZ","2022-04-15"
"UPJQ9","IDZE3","1835.13","6A1CR","2022-03-25"
"UMV0I","8DO01","1833.96","SW1FA","2022-10-26"
"1DC0F","F95B8","1828.97","P0JA5","2022-04-15"
"G8TKY","PO4Q4","1818.79","6IPKS","2022-07-11"
"28YTO","IHYZO","1812.99","4FD3N","2022-10-13"
"0L3NQ","BRX62","1812.63","GKTCF","2022-04-08"
"INKF4","VM6YE","1806.85","PB6Z6","2022-09-15"
"J348U","BRX62","1805.96","DRBJ8","2022-04-08"
"Q8WJC","29JBC","1805.57","6RCV4","2022-03-12"
"JJCYH","VM6YE","1801.28","FUR3X","2022-09-15"
"64ORQ","BRX62","1793.1","V1RZB","2022-04-08"
"VB9YG","X4E1M","1789.79","7QINW","2022-03-12"
"J3EE4","F95B8","1787.9","MABWW","2022-04-15"
"8LXVO","1XG6O","1785.5","9R01Y","2022-08-30"
"SCBAR","PRQGM","1783.5","Z5WLW","2022-10-28"
"GIDAQ","HJYAF","1781.68","51WHM","2022-10-19"
"AOXEJ","PO4Q4","1761.31","JWXSS","2022-07-11"
"JJDHJ","B3OWC","1758.98","K3VTH","2022-04-05"
"WF1HB","VM6YE","1738.97","W7QGR","2022-09-15"
"YV0WJ","HJYAF","1738.39","C0UHU","2022-10-04"
"PCOU6","IHYZO","1732.39","RVZRR","2022-10-13"
"NOF67","PO4Q4","1701.89","ME7DC","2022-07-11"
"Z1KAJ","5C0M1","1688.41","AWFGJ","2022-09-26"
"NE5IF","H6C82","1687.23","0HC1E","2022-10-26"
"U1J61","IDZE3","1684.63","08WHX","2022-03-25"
"2EF8S","I1JY3","1682.21","3S3MN","2022-09-28"
"TLK9K","T9ZSG","1680.93","DPGAP","2022-09-04"
"BG37L","H6C82","1679.76","449OC","2022-10-26"
"BDMK5","T9ZSG","1664.24","08KUN","2022-09-04"
"NBW4Z","3BADC","1659.1","1H9CX","2022-10-19"
"SBE3R","HPTBM","1642.57","20AR2","2022-05-30"
"IIOQ5","IDZE3","1625.63","3K1ND","2022-03-25"
"WZQEK","VM6YE","1616.3","RSBL9","2022-09-15"
"P5851","HJYAF","1609.37","S3AB0","2022-10-19"
"NS9ZE","IDZE3","1580.2","G2W79","2022-03-25"
"Z4YDL","BRX62","1579.77","0QEPM","2022-04-08"
"2DS61","8DO01","1567.14","OZBPO","2022-03-25"
"BBT3H","V5CHD","1541.82","WH1ZH","2022-08-11"
"3I9TW","PO4Q4","1520.68","86J10","2022-07-11"
"4HN2S","X4E1M","1519.22","ZB7CT","2022-10-19"
"OWG8Z","29JBC","1513","EJ8AM","2022-03-12"
"I6SAJ","VM6YE","1512.92","YRL14","2022-09-15"
"4Q6ZI","IDZE3","1512.1","FCQGQ","2022-10-26"
"GC9F1","HPTBM","1501.4","3DEPB","2022-05-30"
"1YSU4","8NP1J","1493.49","C0UHU","2022-03-12"
"T270N","IDZE3","1479.36","GVYOF","2022-03-25"
"EA352","HLQ7U","1478.15","1E2BT","2022-06-15"
"M69W2","VM6YE","1475.71","0V5C9","2022-09-15"
"VNPK2","HJYAF","1468.42","670AO","2022-10-04"
"D3L74","29JBC","1466.2","0OWRH","2022-03-12"
"GG5P7","IDZE3","1461.67","QXXKB","2022-03-25"
"20K0I","VM6YE","1450.32","0HC1E","2022-09-15"
"IIYX7","29JBC","1444.4","9X7GU","2022-10-19"
"5YRO9","BRX62","1441.25","N7TIV","2022-04-08"
"MNNYK","X4E1M","1440.9","PRF6N","2022-10-19"
"WCXLV","IDZE3","1437.36","Y26NY","2022-03-25"
"TAO9K","HLQ7U","1428.4","V87IG","2022-06-15"
"L3H4W","PO4Q4","1428.15","PINBW","2022-07-11"
"DJWB5","HLQ7U","1416.95","8EBHM","2022-06-15"
"RMHWY","T9ZSG","1414.95","SGSRE","2022-09-04"
"NZOSU","29JBC","1405.31","QMHWG","2022-10-19"
"6IHVA","VM6YE","1401.21","0V5C9","2022-09-15"
"A7G8C","X4E1M","1397.59","9CK79","2022-10-19"
"J2ZL0","PO4Q4","1364.83","FUAY0","2022-07-11"
"1QNHK","IDZE3","1354.4","W2FN3","2022-03-25"
"K3CH7","29JBC","1352.4","9R01Y","2022-03-12"
"W2VY6","OW0EP","1349.7","8X3PV","2022-03-22"
"1YRNW","IHYZO","1343.96","RVZRR","2022-10-13"
"KDGIQ","29JBC","1342.38","P8UM4","2022-03-12"
"LV2FX","HJYAF","1336.55","G60H0","2022-10-19"
"ASGVF","HJYAF","1333.8","TJX73","2022-10-19"
"9135Q","HLQ7U","1330.42","S3AB0","2022-06-15"
"SECFW","H6C82","1329.6","G9Q2G","2022-06-02"
"7FFU2","VM6YE","1322.76","19J34","2022-09-15"
"ZSBPW","I1JY3","1314.82","CZOIF","2022-09-28"
"G9WMY","PO4Q4","1305.45","7W8YE","2022-07-11"
"30LB3","OW0EP","1255.16","U98HN","2022-03-22"
"IDTQO","1XG6O","1254.63","Z0LJU","2022-08-30"
"1JA6J","5C0M1","1252.41","KR138","2022-09-26"
"4D0LB","29JBC","1245","K3VTH","2022-03-12"
"IO9A8","BRX62","1239.16","IBCNI","2022-04-08"
"NL2WY","5D94C","1238.51","CYGAE","2022-07-04"
"C228J","TWDIW","1236.9","L20JI","2022-05-28"
"3JCQV","HLQ7U","1230.98","6LV2R","2022-06-15"
"DJZB0","OW0EP","1228.19","Z49UX","2022-03-22"
"SOJSM","3BADC","1211.16","GQM6L","2022-10-19"
"W5BPP","5C0M1","1209.36","Q0UI3","2022-09-26"
"6K6I7","VM6YE","1199.19","3KCY4","2022-09-15"
"OPKGH","HPTBM","1192.5","A8U7K","2022-05-30"
"KPH7K","IDZE3","1190.12","GQM6L","2022-03-25"
"I0PB5","IDZE3","1189.46","449OC","2022-03-25"
"GR5XS","T9ZSG","1180.9","FQUO1","2022-09-04"
"7P27B","HJYAF","1179.86","L20JI","2022-10-19"
"7CT21","T9ZSG","1172.8","SEOMV","2022-09-04"
"EKH68","5C0M1","1160.84","1JA6J","2022-09-26"
"H7MCZ","PO4Q4","1144.77","0BMS5","2022-07-11"
"63C4G","F95B8","1143.9","QTM9A","2022-04-15"
"KP9IK","VM6YE","1126.16","TYD9O","2022-09-15"
"KC47K","IDZE3","1122.47","4Z5VC","2022-03-25"
"0QKV6","OW0EP","1114.68","O83AN","2022-03-22"
"UOX4S","HLQ7U","1084.2","D7CK2","2022-06-15"
"8YMTG","IDZE3","1083.71","DW4SG","2022-03-25"
"LEQ1T","HJYAF","1081.76","HGTUB","2022-10-04"
"YC3WI","5C0M1","1076.17","RVZRR","2022-09-26"
"6UPG9","HPTBM","1075.58","0BMS5","2022-05-30"
"ZA1O1","HJYAF","1071.46","TT1MJ","2022-10-19"
