"itemid","datelisted"
"W1UN9","2022-06-13"
"TW1LD","2022-02-24"
"DKKV7","2022-02-06"
"QJ9A3","2022-04-08"
"Q9UXC","2022-05-09"
"PDTL7","2022-05-18"
"JG5JZ","2022-06-21"
"AVUUC","2022-04-12"
"H7MCZ","2022-05-10"
"G8TKY","2022-02-25"
"N8G08","2022-08-01"
"FN7WM","2022-01-13"
"IN5NP","2022-02-01"
"JWTLV","2022-07-22"
"6JFVP","2022-03-25"
"Z1KAJ","2022-05-19"
"EKH68","2022-05-06"
"II4C7","2022-10-01"
"MQUQQ","2022-05-25"
"Q6S50","2022-03-06"
"S6HXW","2022-05-24"
"63C4G","2022-07-31"
"DI9MA","2022-04-11"
"YJOSM","2022-09-09"
"CVK3Y","2022-03-07"
"G71SV","2022-10-26"
"HJZ38","2022-09-20"
"FCJU5","2022-02-15"
"OWG9N","2022-07-03"
"M69W2","2022-05-01"
"YBPFT","2022-03-01"
"Y875G","2022-10-15"
"I6SAJ","2022-02-22"
"6K6I7","2022-08-25"
"INKF4","2022-08-19"
"7FFU2","2022-03-04"
"6CYXV","2022-06-24"
"WCXLV","2022-06-10"
"U1J61","2022-08-09"
"2T904","2022-01-25"
"NS9ZE","2022-01-01"
"GY0E9","2022-01-20"
"RGR3Q","2022-10-06"
"SPNFJ","2022-01-01"
"2DS61","2022-02-07"
"3Q8K2","2022-07-04"
"YNQYO","2022-01-09"
"BG37L","2022-02-21"
"NE5IF","2022-07-22"
"5JZ1Z","2022-02-14"
"FXAST","2022-08-05"
"6IF6C","2022-01-17"
"ZO9MC","2022-03-22"
"LGJQL","2022-01-04"
"Y8W94","2022-05-10"
"DI3IQ","2022-08-29"
"TXLA4","2022-01-17"
"JJDHJ","2022-02-20"
"RVLZQ","2022-07-05"
"U5V46","2022-04-30"
"HD377","2022-07-23"
"GIJNW","2022-07-04"
"J52AU","2022-06-15"
"7CT21","2022-03-02"
"BDMK5","2022-02-03"
"6WPC0","2022-02-08"
"2XC7O","2022-04-23"
"7L80Q","2022-07-09"
"GI3W6","2022-03-27"
"7D3PZ","2022-01-17"
"UEWB2","2022-08-20"
"IVKBC","2022-09-21"
"LI6HU","2022-09-04"
"OAOYI","2022-05-04"
"3C0M7","2022-04-10"
"KDGIQ","2022-03-02"
"SGPTE","2022-03-29"
"9P1PN","2022-04-27"
"NZW1Q","2022-10-22"
"NZOSU","2022-05-09"
"QZND7","2022-05-29"
"0V8OE","2022-08-11"
"NGTTM","2022-09-21"
"42GKH","2022-10-22"
"FUB36","2022-03-22"
"LC7LK","2022-06-12"
"Q3SR7","2022-05-31"
"8QWWQ","2022-08-16"
"CO260","2022-01-01"
"NRKL2","2022-04-09"
"ULFV3","2022-10-28"
"5E4S3","2022-05-30"
"XEQNI","2022-01-25"
"LD09B","2022-07-06"
"J348U","2022-02-09"
"2EF8S","2022-07-10"
"OSKPM","2022-08-27"
"Y7WR8","2022-08-30"
"3J8RD","2022-02-17"
"K3CH7","2022-01-15"
"MK4DM","2022-06-26"
"Z4YDL","2022-07-08"
"IIYX7","2022-09-29"
"64ORQ","2022-01-25"
"YV0WJ","2022-06-17"
"TCM7S","2022-06-11"
"PWHNO","2022-01-28"
"IPKWV","2022-05-23"
"D3L74","2022-03-22"
"JOO06","2022-08-23"
"ZAS9T","2022-02-20"
"GSYZV","2022-05-25"
"AX2ST","2022-09-15"
"XQ007","2022-08-02"
"ELKUK","2022-05-18"
"O3FA4","2022-04-07"
"WENO4","2022-09-05"
"JBCZI","2022-03-21"
"DU4D5","2022-04-24"
"2MAMO","2022-02-12"
"DCZWA","2022-08-24"
"IYBNO","2022-05-19"
"66K5E","2022-10-21"
"HWFRW","2022-09-29"
"RU8L8","2022-06-14"
"XHTJY","2022-10-19"
"TY17E","2022-07-24"
"YSPI9","2022-10-17"
"FA2SR","2022-05-18"
"0UGGP","2022-10-21"
"QO90N","2022-08-11"
"MTR3Q","2022-06-09"
"C7BL9","2022-05-25"
"Q1220","2022-05-29"
"5J1AW","2022-02-24"
"KY6SR","2022-07-05"
"QNYMF","2022-06-22"
"ILWIQ","2022-01-03"
"RAJQE","2022-08-11"
"E5WMF","2022-03-16"
"0BI2Z","2022-05-30"
"9OXDJ","2022-05-16"
"BK7L2","2022-06-01"
"EHME0","2022-08-16"
"ASSPL","2022-01-20"
"LY99M","2022-01-13"
"SRE2K","2022-01-23"
"RBZSX","2022-08-26"
"PMG2K","2022-10-01"
"FUBCU","2022-10-19"
"ZK93L","2022-06-09"
"HJ2KC","2022-01-21"
"L5WIC","2022-08-01"
"4SJQM","2022-08-14"
"FSCOL","2022-09-12"
"89FNW","2022-03-28"
"6Z0GW","2022-06-03"
"OLZ4H","2022-03-27"
"ZAP4N","2022-08-24"
"H89DV","2022-05-04"
"F19QM","2022-05-07"
"6FJY0","2022-03-23"
"I7SX0","2022-05-15"
"OL11S","2022-01-18"
"U9PQK","2022-08-03"
"FI4JE","2022-07-12"
"ME6NS","2022-06-10"
"6WVRX","2022-04-19"
"3BLQ4","2022-06-16"
"X77OD","2022-02-17"
"V7KJA","2022-02-15"
"CEYPE","2022-01-26"
"U0JUO","2022-07-16"
"651I2","2022-05-23"
"I7YGL","2022-02-20"
"JD0UD","2022-10-25"
"VD22L","2022-08-18"
"MJMZ8","2022-01-11"
"97MPY","2022-01-05"
"YN00B","2022-08-04"
"J4PNO","2022-03-05"
"GOBQL","2022-07-06"
"2JBJM","2022-02-23"
"93VVK","2022-03-16"
"4MFHY","2022-04-07"
"1JLLF","2022-08-11"
"TBOK3","2022-09-11"
"2CYH2","2022-05-14"
"YH03S","2022-07-27"
"431X6","2022-10-22"
"TULAA","2022-03-08"
"RIWN8","2022-07-14"
"U4CV5","2022-10-16"
"YU4EP","2022-08-27"
"97CFO","2022-01-16"
"DKSK7","2022-04-24"
"B2KQZ","2022-10-13"
"FX8M6","2022-04-15"
"J6GY1","2022-06-02"
"IBMNJ","2022-06-27"
"1R09K","2022-07-12"
"W6GWC","2022-09-30"
"D0VN1","2022-10-23"
"VPVQT","2022-10-24"
"3L5OC","2022-08-08"
"WSMPK","2022-04-05"
"FSIIK","2022-01-01"
"CWY3U","2022-01-25"
"IQ1AH","2022-08-23"
"7Q3SH","2022-07-28"
"UDGB5","2022-05-13"
