"itemid","adid","level"
"NKRP6","Y0CQ6","other"
"QVT8S","T4WN6","platinum"
"KIE8I","GQ8JT","gold"
"OEYRT","V49GW","other"
"TZZSO","N9427","silver"
"GOA1X","9AFZA","other"
"41BHM","VPUEM","platinum"
"9T4E4","J82FF","silver"
"ZOXPM","5GT9S","gold"
"3KPDQ","8N9S2","gold"
"Q0D8Y","YUPSL","platinum"
"LXLYF","CQ4EF","platinum"
"33GFY","CF8Z7","silver"
"JNSBK","PN0R2","other"
"199SM","WFUH5","silver"
"1GR3D","PBRHO","silver"
"Y3C35","V1DGJ","platinum"
"WHQ8I","8EBHM","gold"
"F6H5A","XHCBM","platinum"
"FCC2T","4NDB8","other"
"507OD","QEOET","silver"
"WJ5PN","D63CG","other"
"MZ0U0","W4KND","platinum"
"N108C","V7QH2","platinum"
"IW0J0","06TWY","silver"
"1BK15","A3FVC","silver"
"51CTV","4WSWI","silver"
"6Y8W1","0FAMV","platinum"
"XJHVB","2Y0CZ","other"
"GT4Z5","CK2EQ","platinum"
"81W16","59AC5","silver"
"CCC53","3D0M9","gold"
"GPBCG","IAZ0U","gold"
"P0M0R","A7GMH","platinum"
"P8ZJW","RLG4Z","gold"
"QC9G0","2HQI7","silver"
"NUUZE","JRBCC","platinum"
"H2DRJ","9UXC5","other"
"ET0Q8","X8LNY","silver"
"GPZPY","JRVVX","gold"
"O0B6O","CCRKJ","silver"
"WD5M0","9ISH4","platinum"
"AJWGF","TL7ET","other"
"WA88F","T0GG9","other"
"EQIA6","VH4H5","other"
"H0HZA","VJKYF","gold"
"CSBS6","MODYA","gold"
"FZHDP","7S25N","other"
"KHO60","OQK1M","silver"
"OHX9M","B72MH","other"
"9J1JV","NCNJG","platinum"
"7L11X","X8JG5","platinum"
"2V1QS","175U5","other"
"YMYJO","M8OAV","silver"
"LBXAQ","C7JQJ","other"
"BS6HD","4EF7C","gold"
"Z97S2","CTA2V","platinum"
"MYA06","3X6Y7","gold"
"K16BX","7E1NS","other"
"Z1G2E","4YOBA","platinum"
"SKF0K","QVE5Q","silver"
"27SZF","YYDKI","platinum"
"1WT76","VDC40","platinum"
"FNFQ2","FJW0C","other"
"9N9TR","DG4JB","gold"
"JJGOO","IUG9W","platinum"
"JUHND","5HD3V","gold"
"D7KEH","SIYSH","platinum"
"I46YC","Z2XM3","silver"
"KLTHN","ECC5Q","gold"
"2BZ5H","NOF67","other"
"LPFGP","HJ11F","gold"
"U4IT7","G0JB2","other"
"PXSIB","B5UQF","silver"
"4RTIO","WBWWL","gold"
"YQACM","OXEJN","gold"
"LYJZD","HASXB","platinum"
"6JEDO","L3H4W","silver"
"8515L","NXV4S","silver"
"72VJO","9ULFG","silver"
"PNV6Z","JIOU6","platinum"
"220YV","LSX0C","platinum"
"KZLD4","ZEEI0","silver"
"WJVR2","J1TWF","platinum"
"QM5R3","X7DY0","gold"
"EEOKB","U2NXS","other"
"6SCTF","LGRH9","platinum"
"BEXSP","2ZL01","platinum"
"GDA7I","3V7JW","other"
"D26MW","F4NSA","other"
"30BZP","ANTHT","platinum"
"TLK9K","4F5O8","other"
"B5PEW","BHRCA","silver"
"37ZPB","Z2GQW","silver"
"02YGN","MFCEQ","silver"
"QQEM3","H7PKE","other"
"86J10","S7I7N","gold"
"E62DS","8ZRS2","silver"
"A0VN9","IKHHY","other"
"9XKBX","I9TW4","other"
"ASJPL","56U5D","other"
"X2J7P","5DNBW","other"
"RGX5T","A7EFZ","gold"
"9P97R","2XAMN","gold"
"JXY8R","HARSO","platinum"
"M1GV3","SMG13","silver"
"EFBHU","V01J2","platinum"
"UGNRH","INL2W","other"
"IQ1AH","5YOM2","platinum"
"WU0G8","DYCOF","platinum"
"DS4GZ","LOTF6","silver"
"YCMC6","W03D7","other"
"81FOL","5Q4NV","silver"
"KLB1H","DKWAS","gold"
"THOFT","1OZ9O","other"
"35P8T","1.70E+05","silver"
"WRWM4","GFUU8","other"
"R8VMO","QB7CM","silver"
"M19FT","7WMMQ","silver"
"3CC82","YQ4WP","gold"
"YZ6S4","9EA35","other"
"JD0UD","0532H","gold"
"ENKHD","GJ0N2","gold"
"KY2MI","9ZCLP","other"
"FCPWW","RWU1G","silver"
"NCXHW","MS263","silver"
"X6B1N","BHGL0","platinum"
"7Q1IE","A861D","gold"
"6K3AB","RHWO8","silver"
"RGFOT","PE7TU","platinum"
"F8X3C","4SKIA","silver"
"GJM6C","BIZJL","gold"
"Y4RI7","N5NPI","platinum"
"QFD9M","WI5GB","silver"
"ZEJ0P","TAO9K","other"
"30QV1","48UFQ","platinum"
"NBGBF","MUSYD","platinum"
"I3HI7","PV2OQ","silver"
"XA91K","TBW8D","platinum"
"9XJ21","5DBPC","gold"
"KV1DG","UEDW1","platinum"
"WQ8M2","N21JW","silver"
"4PSLL","V0YA0","silver"
"TUUJ5","3CH0Y","platinum"
"D86Q5","I6JFV","platinum"
"GJKO5","LPBK9","platinum"
"3U4UW","1G3JC","silver"
"DYM05","YBC5F","silver"
"FSCOL","J3P6W","platinum"
"A84FX","ZVR5Z","gold"
"JC74R","S94C8","silver"
"6VNJH","C3ZHZ","silver"
"PG93O","BRCQS","platinum"
"DFOCE","7VYQN","gold"
"ME6NS","VP8WK","platinum"
"22V1Z","ADJWX","silver"
"K9G6O","U5Z1K","gold"
"J348U","C2IVA","other"
"IMK9T","QME91","silver"
"H7ZHD","L7KEK","gold"
"FR0CJ","8Y1RT","silver"
"TYQPS","RQ879","silver"
"8HNRI","M1JA6","platinum"
"Q6Y9L","YX3C9","other"
"81CD0","OBX7K","platinum"
"CZ8HX","5BPPR","platinum"
"9PSME","0E2P2","gold"
"P3Q01","K2E1Z","silver"
"GYBWK","WUFTB","other"
"J60K0","QMZY1","other"
"KOPC4","C3WIR","silver"
"8XMVH","Z47IC","gold"
"XYSW0","WXAEM","gold"
"F3WL1","4CUBU","other"
"68Q33","R0JJZ","silver"
"4SGJZ","KII4C","gold"
"FYKAL","YLWFF","platinum"
"F851I","MQUQQ","other"
"CRJ9N","J29JC","platinum"
"ETORL","CUEM3","platinum"
"JF1A2","7KVI4","gold"
"ANXVB","7VAFG","other"
"4UAZW","2VY6X","gold"
"R912K","BLIBV","platinum"
"Q1HVC","DTYDK","silver"
"ADZWR","E0D2W","silver"
"NAA18","30LB3","silver"
"B53W6","YEWGH","gold"
"6EPJN","LZAU3","other"
"8F2RM","D8ZQB","gold"
"W053N","FVWG4","gold"
"WBWBB","7SCAY","silver"
"G2VQD","9JKLK","platinum"
"CFGAT","VB4ZC","platinum"
"QZ2C4","SVKPW","platinum"
"ZOV7D","03XIY","gold"
"N6Y1Y","AYLJB","gold"
"8FWGU","6ACDH","platinum"
"UZBBQ","YB01V","platinum"
"27ZOS","X6N8Z","gold"
"K2CD7","WG11P","other"
"M5XSS","ZP4ZE","silver"
"EALTD","7X8B4","platinum"
"N9B9M","UZG8D","platinum"
"CCNGL","B0Z1G","other"
"YPL86","KKV40","platinum"
"9TOD4","S6HXW","platinum"
"DCF51","47DMQ","platinum"
"5ZS2Q","USYCS","other"
"L677M","0RYNW","platinum"
"77X9V","WKB1Z","other"
"0EY1B","E189I","platinum"
"E1UZR","KOB7I","other"
"OC8QZ","SVH0Q","platinum"
"V7WX2","6V8JY","silver"
"EERSR","YWY46","silver"
"LERI7","0GJJA","gold"
"5HG8G","N6HRK","other"
"KWPI4","CAHX4","silver"
"MLE0C","2XQ5O","platinum"
"GEEHM","E6KBK","other"
"VK0WY","N2ZQB","platinum"
"VKZMC","K2DYF","other"
"14NRE","63C4G","silver"
"U78VC","59Z4Q","platinum"
"ROJWJ","XKTJ3","gold"
"3Q97W","4Z09F","silver"
"GS3YH","HSJXG","platinum"
"RCBHZ","DI9MA","gold"
"OF17O","95G49","silver"
"OSVJ1","VGAPO","other"
"LQA5A","TROA5","silver"
"N8552","6VFET","other"
"63J70","XYJOS","platinum"
"MW9WK","4WSYI","gold"
"61A62","ZSG4S","gold"
"NUGFJ","WPLV5","platinum"
"A1793","YY363","platinum"
"C8TTN","6T5OU","gold"
"KZZIF","UZO1D","gold"
"AOREC","QMULH","platinum"
"LC7LK","XBOCA","other"
"JS28E","IHMF3","platinum"
"WK7XM","70E8L","platinum"
"7M555","0Y4A1","platinum"
"BEXSP","CRBWX","silver"
"HWFRW","I7FQG","gold"
"XDNR0","JIYNU","platinum"
"OTH73","6H9G4","gold"
"XGZAA","24L39","silver"
"1UJ0K","QYF6V","platinum"
"BMMKP","W40B2","gold"
"MDMS7","2O1PQ","other"
"LZ3IZ","O2SX5","platinum"
"PYIE4","7FMT7","gold"
"8DLVE","JVCVK","other"
"Q13NU","M05MK","other"
"I04YY","V7MUL","other"
"RWUY0","U9MAC","gold"
"P4FIZ","2OG71","silver"
"6LAY9","V5MKX","silver"
"2A0CU","Z2U3E","platinum"
"CZIJG","HJZ38","platinum"
"E6FLL","CBZNF","other"
"IKCQ5","08NAI","other"
"7AR0K","88EF5","gold"
"DI1HA","XTFBP","gold"
"EHP5D","6XJ3Q","gold"
"6DQJD","ROYY6","silver"
"IOTNG","QFCJU","other"
"MQ6D2","741UY","gold"
"VULNG","IJBH1","platinum"
"IRZF9","RQYHW","silver"
"C3UOQ","M88DV","gold"
"ZG4HN","5BQVI","silver"
"6ESUH","G90EQ","gold"
"DOGKE","I5C7O","silver"
"D9SEE","NLOZM","other"
"048AF","RW9MN","other"
